"Código","Nombre","Color","Talla","Cantidad","Notas","Fecha Creación"
"Bodysuit Unisex Verde Oliva","Bodysuit Unisex Manga Corta","Verde Oliva","undefined","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Verde Oliva Larga","Bodysuit Unisex Manga Larga","Verde Oliva","undefined","7","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 1 Larga","Bodysuit Unisex Manga Larga","Azul Cielo Tipo 1","undefined","7","Manga Larga - No hay manga corta en este modelo","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 2 Corta","Bodysuit Unisex Manga Corta","Azul Cielo Tipo 2","undefined","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 2 Larga","Bodysuit Unisex Manga Larga","Azul Cielo Tipo 2","undefined","4","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Navy Larga","Bodysuit Unisex Manga Larga","Azul Navy","undefined","4","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Navy Corta","Bodysuit Unisex Manga Corta","Azul Navy","undefined","4","Manga Corta","1/12/2025"
"Bodysuit Unisex Gris Corta","Bodysuit Unisex Manga Corta","Gris","undefined","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Gris Larga","Bodysuit Unisex Manga Larga","Gris","undefined","11","Manga Larga","1/12/2025"
"Bodysuit Unisex Bicolor Navy/Gris Larga","Bodysuit Unisex Manga Larga","Bicolor (Navy/Gris)","undefined","7","Manga Larga - Bicolor","1/12/2025"
"Bodysuit Unisex Blanco Sin Manga","Bodysuit Unisex Sin Manga","Blanco","undefined","67","Sin Manga","1/12/2025"
"Bodysuit Unisex Blanco Corta","Bodysuit Unisex Manga Corta","Blanco","undefined","6","Manga Corta","1/12/2025"
"Bodysuit para Niñas Blanco Corta","Bodysuit para Niñas Manga Corta","Blanco","undefined","10","Manga Corta - Para Niñas","1/12/2025"
"Bodysuit para Niñas Gris Corta","Bodysuit para Niñas Manga Corta","Gris","undefined","10","Manga Corta - Para Niñas","1/12/2025"